"Incluye  transacciones de Amazon Marketplace, Fulfillment by Amazon (FBA) y Amazon Webstore"
"Todos los importes en dólares, a menos que se especifique"
"Definiciones:"
"Impuesto de venta cobrado: Incluye impuesto de venta cobrado a los compradores por ventas de productos, envíos y envoltorio de regalo."
"Tarifas de venta: Incluye tarifas de cierre variable y de remisión."
"Tarifas de otra transacción: Incluye reintegros de envío, retenciones de envío y tarifas de cobro de impuestos de venta."
"Otro: Incluye otros importes de transacción no relacionados con el pedido. Para obtener más detalles, consulta las columnas ""Tipo"" y ""Descripción"" para cada Id. de pedido."
"fecha/hora","Id. de liquidación","tipo ","Id. del pedido","sku","descripción","cantidad","marketplace","cumplimiento","ciudad del pedido","estado del pedido","código postal del pedido","modelo de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","créditos de envío","impuesto de abono de envío","créditos por envoltorio de regalo","impuesto de créditos de envoltura","descuentos promocionales","impuesto de reembolsos promocionales","impuesto de retenciones en la plataforma","tarifas de venta","tarifas fba","tarifas de otra transacción","otro","total"
"2 ene. 2021 0:22:09 GMT-8","13675199931","Reembolso","701-8301483-7580267","SADDL-2204DD-BLK","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses,  Negro, Talla única","1","amazon.com.mx","Amazon","MERIDA","YUCATAN","97285","","-450.18","0","0","0","-39.00","0","0","0","0","54.02","39.00","0","0","-396.16"
"2 ene. 2021 3:35:04 GMT-8","13675199931","Tarifa de servicio","","","Costo de la publicidad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,105.15","-176.82","-1,281.97"
"2 ene. 2021 3:41:35 GMT-8","13675199931","Pedido","702-6984982-4357840","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","TIJUANA","BAJA CALIFORNIA","22253","","390.45","0","0","0","0","0","-78.09","0","0","-46.85","-116.59","0","0","148.92"
"2 ene. 2021 16:35:42 GMT-8","13675199931","Pedido","701-3212769-0477815","SADDL-2058-FUCH","Saddler para mujer (Piel de napa cierre monedas & Clave cartera con Solapa Bolsillo, Fucsia, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MEXICO","CIUDAD DE MEXICO","03020","","352.14","0","0","0","0","0","0","0","0","-52.83","-116.59","0","0","182.72"
"2 ene. 2021 20:27:14 GMT-8","13675199931","Pedido","702-6930386-8281027","SADDL-2037-PCBLU","SADDLER - Soporte para pasaporte de piel de lujo, carteras de viaje, caja de regalo, Azul Peacoat , Talla única","1","amazon.com.mx","Amazon","SAN PEDRO GARZA GARCIA","NUEVO LEON","66250","","352.14","0","0","0","0","0","0","0","0","-52.83","-116.59","0","0","182.72"
"3 ene. 2021 3:50:24 GMT-8","13675199931","Pedido","701-4041492-3253035","SADDL-2202DD-BLK","Saddler Womens Large Trifold - Cartera de piel con cartera de cierre, Negro, Talla única","1","amazon.com.mx","Amazon","CIUDAD DE MÉXICO","CIUDAD DE MÉXICO","14739","","390.45","0","0","0","0","0","-78.09","0","0","-46.85","-116.59","0","0","148.92"
"3 ene. 2021 4:04:02 GMT-8","13675199931","Pedido","701-9117160-7813805","SR-7005-BLK","Swiss REIMAGINED Mens portafolios de piel RFID Business & titular de la tarjeta de crédito, color negro","1","amazon.com.mx","Amazon","MERIDA","YUCATAN","97000","","352.14","0","0","0","0","0","0","0","0","-52.83","-116.59","0","0","182.72"
"3 ene. 2021 8:41:10 GMT-8","13675199931","Pedido","701-9054391-9233866","SADDL-2060-PCBLU","SADDLER - Monedero de piel de lujo con cremallera superior con doble llavero bolsillo frontal | Bolsa de cambio de diseño | caja de regalo, Azul Peac","1","amazon.com.mx","Amazon","TECAMAC DE FELIPE VILLANUEVA","MÉXICO","55763","","344.28","0","78.63","0","0","0","0","0","0","-51.64","-195.22","0","0","176.05"
"3 ene. 2021 9:46:24 GMT-8","13675199931","Pedido","702-9793367-9013025","SADDL-2054-TAUP","Saddler Womens Real piel Solapa cartera Trifold - Cartera Sección Doble mediano,  Marrón topo, Talla única","1","amazon.com.mx","Amazon","ZAPOPAN","JALISCO","45147","","452.98","0","81.12","0","0","0","0","0","0","-67.95","-197.71","0","0","268.44"
"3 ene. 2021 22:29:32 GMT-8","13675199931","Pedido","701-6729993-3597059","SADDL-2204DD-PTY","Saddler Womens Trifold - Cartera - 18 de piel auténtica titular de la tarjeta de crédito & Coin Purses,  Putty, Talla única","1","amazon.com.mx","Amazon","PLAYAS DE ROSARITO","BAJA CALIFORNIA","22706","","450.51","0","83.99","0","0","0","0","0","0","-67.58","-200.58","0","0","266.34"
