"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","selling fees","fba fees","other transaction fees","other","total"
"Jan. 1, 2021 4:54:56 p.m. PST","13701774921","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","-8.57","-8.57"
"Jan. 2, 2021 2:31:21 a.m. PST","13701774921","Order","702-5915599-6091429","FBA15MLL5M51.missing6","SADDLER Womens Real Leather Zip Top Coin Purse | Ladies Change Pouch|Gift Boxed - Magenta","1","amazon.ca","Amazon","Claresholm","Alberta","T0L 0T0","","17.99","0.90","0","0","0","0","0","0","-2.70","-6.15","-0.03","0","10.01"
"Jan. 2, 2021 2:33:45 a.m. PST","13701774921","Order","701-6664407-1639446","SADDL-2040-JB","SADDLER Womens Luxurious Leather Bifold Wallet Clutch Zipper Purse | Gift Boxed - Green","1","amazon.ca","Amazon","ALDERSYDE","Alberta","T0L0A0","","36.99","1.85","0","0","0","0","0","0","-5.55","-6.15","-0.05","0","27.09"
"Jan. 2, 2021 4:56:24 a.m. PST","13701774921","Refund","701-8264826-7503432","SADDL-2303-BLK","SADDLER Womens Leather Cross Body Purse Clutch | Detachable Strap |Ladies Sling Bag - Black","1","amazon.ca","Amazon","Baie-Comeau","Quebec","G4Z 1E3","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan. 2, 2021 6:01:09 a.m. PST","13701774921","Service Fee","","","Cost of Advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","-254.25","0","-254.25"
"Jan. 2, 2021 7:10:59 a.m. PST","13701774921","Refund","702-8850603-3756227","AOCC-CW-001-METRED","ANYONECANCOOK 12-Piece Non-Stick Aluminum Pots and Pans Cookware Set (Red)","1","amazon.ca","Amazon","Cross Lake","Manitoba","R0B 0J0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan. 2, 2021 11:11:35 a.m. PST","13701774921","Refund","702-8626791-6161034","SADDL-2068-TEAL","SADDLER Womens Leather Bifold Purse Wallet Clutch with Zip Coin Purse| Gift Boxed - Teal","1","amazon.ca","Amazon","Lacombe","Alberta","T4L 2A6","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jan. 2, 2021 2:28:32 p.m. PST","13701774921","Order","701-1515079-2378636","SPBR-1718-02","SWISS REIMAGINED Spring Bar Pins - Made from Stainless Steel - for Attaching Watch Band to Watches or Buckle (Set of Two) - 17mm X 1.8mm","1","amazon.ca","Amazon","Bradford","Ontario","L3Z 0S9","","6.99","0.91","0","0","0","0","0","0","-1.12","-3.81","-0.03","0","2.94"
"Jan. 2, 2021 3:22:55 p.m. PST","13701774921","Order","702-8645011-5896209","SADDL-2044-TEAL","SADDLER Womens Leather Multi Section Credit Card Clutch Purse Wallet| Gift Boxed - Teal","1","amazon.ca","Amazon","London","Ontario","N6J 4Y8","","49.99","6.50","0","0","0","0","0","0","-7.50","-5.85","-0.19","0","42.95"
"Jan. 2, 2021 5:36:55 p.m. PST","13701774921","Refund","701-0191004-9425046","SADDL-2061-EBLU","SADDLER Womens Leather Flapover Coin Purse with Zip | Small Pouch | Gift boxed - Blue","1","amazon.ca","Amazon","Toronto","Ontario","M6R 1P2","","-26.99","-3.51","0","0","0","0","0","0","3.24","0","0","0","-27.26"
